lat,lon,bec_zone,map_label,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,trend_slope,trend_pvalue,trend_class,top_k_years,consistent_core
51.50289,-127.685868,CWH,CWHvh2,0.30835024,0.44337687,0.4279306,0.32094455,0.27370703,0.45637032,0.377377,0.258667,66.19,65.05,75.76,72.32,61.31999999999999,50.839999999999996,64.12,73.08,-0.4405,0.71954364,stable,0,False
50.341722,-127.648994,CWH,CWHvm1,0.2279242,0.7245629,0.6110143,0.21808225,0.34396568,0.56263787,0.28494066,0.048298,59.45,80.86,84.87,65.57,66.55,57.32000000000001,58.25,45.83,-4.646,0.108680554,stable,0,False
49.283118,-122.424053,CWH,CWHvm2,0.2696918,0.23899642,0.3369528,0.02113138,0.33411264,0.7691935,0.5822839,0.28168,63.1,49.88,70.7,28.999999999999996,65.84,69.45,75.9,74.56,2.7308333,0.108680554,stable,0,False
52.764441,-126.64463,CWH,CWHms2,0.03340823,0.016973522,0.017046308,0.0129000805,0.021165648,0.02036097,0.040890872,0.005661,26.640000000000004,12.73,19.99,22.46,21.14,10.47,27.26,16.73,-0.6085,0.9048611,stable,0,False
50.990294,-126.309327,CWH,CWHvm2,0.01161935,0.037517708,0.006402189,0.006941251,0.014142638,0.14197692,0.020648593,0.011735,14.27,21.0,9.24,15.72,16.41,29.220000000000002,20.07,25.28,1.7014285,0.108680554,stable,0,False
53.952965,-131.894734,CWH,CWHvh3,0.011038175,0.046427157,0.009680432,0.015909683,0.024658673,0.105412535,0.029905273,0.011552,13.719999999999999,23.61,13.120000000000001,25.2,23.01,25.650000000000002,23.98,25.019999999999996,0.7325,0.17886905,stable,0,False
51.864078,-127.62383,CWH,CWHvh2,0.019287014,0.1079714,0.024209041,0.027906032,0.15336955,0.26708308,0.05993598,0.003172,19.67,35.86,24.55,32.87,49.97,38.75,32.019999999999996,10.885,0.21958333,1.0,stable,0,False
52.992796,-131.868045,CWH,CWHvh3,0.03583671,0.023841709,0.036646448,0.0035610485,0.029703222,0.049652256,0.0022668045,0.001935,27.77,15.989999999999998,30.43,9.85,25.09,17.75,4.43,6.765000000000001,-2.8353572,0.108680554,stable,0,False
49.202342,-125.154746,CWH,CWHvm2,0.5027919,0.060130496,0.08761837,0.04329127,0.26387262,0.33873093,0.11715187,0.087552,77.18,27.08,44.98,38.98,60.46,43.61,41.65,55.620000000000005,0.21666667,1.0,stable,0,False
49.425649,-125.284137,CWH,CWHmm1,0.29967916,0.27313247,0.23273252,0.22412878,0.6141126,0.717098,0.4977775,0.21532,65.58,52.839999999999996,63.42,66.08000000000001,81.24,66.35,71.26,69.85,1.5063334,0.061011903,increasing,0,False
52.748107,-128.806309,CWH,CWHvh2,0.47859362,0.712475,0.053761046,0.044568177,0.71333665,0.48077497,0.044924002,0.155805,75.9,80.28,36.65,39.379999999999995,85.9,52.26,28.360000000000003,64.63,-2.3404167,0.71954364,stable,0,False
53.763741,-129.79645,CWH,CWHvh2,0.19180295,0.23605199,0.485079,0.18242382,0.2574182,0.4901099,0.35006034,0.216288,55.879999999999995,49.6,78.99000000000001,62.17,59.919999999999995,52.949999999999996,62.470000000000006,69.94,1.1866666,0.39875993,stable,0,False
48.694017,-123.818432,CWH,CWHxm2,0.50765574,0.91245824,0.7818661,0.5655498,0.73673004,0.9959722,0.9499397,0.87065,77.42999999999999,92.16,91.34,83.93,86.86,98.05,95.19999999999999,96.08,2.2016666,0.108680554,stable,3,False
52.200586,-131.194651,CWH,CWHvh3,0.011090925,0.051689703,0.008119714,0.0067451876,0.033798873,0.046726108,0.014803985,0.005108,13.79,25.09,11.39,15.45,26.68,17.31,16.81,15.620000000000001,0.35738096,0.71954364,stable,0,False
52.898839,-128.079688,CWH,CWHvm1,0.32958558,0.30420792,0.14898567,0.1469626,0.24145964,0.53200305,0.26481023,0.308121,67.74,55.230000000000004,54.779999999999994,58.17,58.75,55.38999999999999,56.68,76.25,0.3825,0.5484127,stable,0,False
